# Simulation 14 (Up to date),,,
# 773 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Body calculations may not be entirely accurate at supersonic speeds.,,,
#   Recovery device deployment at high speed (23.6 m/s),,,
#,,,
# Time (s),Altitude (m),Drag force (N),Drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,0,0.57413
0.01,0.017483,0.019162,0.51359
# Event LIFTOFF occurred at t=0.02 seconds,,,
0.02,0.078347,0.099074,0.4533
0.03,0.18577,0.1834,0.42896
0.037808,0.29733,0.25649,0.41684
0.044149,0.40497,0.32452,0.40893
0.04965,0.51074,0.38998,0.40308
0.054581,0.61538,0.45381,0.39846
0.059093,0.71927,0.5165,0.39466
0.06328,0.82263,0.57836,0.39144
0.067203,0.92558,0.63956,0.38866
# Event LAUNCHROD occurred at t=0.070907 seconds,,,
0.070907,1.0282,0.70023,0.38621
0.076463,1.1921,0.79591,0.38284
0.084798,1.4601,0.95114,0.37835
0.0973,1.9125,1.2184,0.37506
0.11605,2.7048,1.7032,0.37582
0.14418,4.1504,2.596,0.37722
0.18001,6.4417,4.034,0.37947
0.2159,9.2471,5.8362,0.38226
0.2659,14.012,8.9986,0.3871
0.3159,19.779,12.969,0.39308
0.33382,22.091,14.595,0.39553
0.34976,24.256,16.132,0.39783
0.3658,26.537,17.766,0.40028
0.38443,29.318,19.775,0.40329
0.41237,33.749,23.015,0.4081
0.45429,40.974,28.388,0.41604
0.47055,43.962,30.633,0.41936
0.48602,46.899,32.854,0.42264
0.50435,50.497,35.593,0.4267
0.53184,56.132,39.931,0.43312
0.56266,62.78,45.114,0.44084
0.57935,66.525,48.059,0.44526
0.6014,71.626,52.108,0.45139
0.63447,79.597,58.521,0.46124
0.65902,85.755,63.542,0.46913
0.68692,92.998,69.538,0.47878
0.72877,104.33,79.125,0.49491
0.76877,115.65,88.913,0.51256
0.81877,130.44,102.19,0.53905
0.86877,145.86,111.77,0.54658
0.91877,161.85,119.33,0.54532
0.96877,178.37,126.68,0.54438
0.99262,186.44,130.86,0.54723
1.0284,198.74,141.1,0.56849
1.0784,216.3,151.66,0.58416
1.1284,234.24,159.25,0.59011
1.141,238.82,160.59,0.5905
1.1599,245.71,162.35,0.59102
1.1724,250.3,163.3,0.59077
1.1912,257.23,164.53,0.58983
1.2117,264.8,165.81,0.58886
1.2424,276.22,167.59,0.58726
1.2884,293.47,168.78,0.58479
1.3384,312.24,167.92,0.58558
1.3424,313.73,167.74,0.58581
1.3483,315.95,167.47,0.58616
1.3572,319.27,167.04,0.58676
1.3631,321.48,166.74,0.58718
1.3674,323.08,166.51,0.5875
1.3715,324.62,166.26,0.58776
1.376,326.29,165.96,0.58794
1.3815,328.36,165.58,0.58817
1.3899,331.46,164.98,0.58852
1.4024,336.09,164.05,0.58909
1.4087,338.44,163.55,0.58941
1.4152,340.81,163,0.58975
1.4243,344.16,162.17,0.59028
1.4379,349.17,160.79,0.59115
1.4485,353.03,159.3,0.59075
1.4585,356.67,157.8,0.59036
1.4735,362.09,155.39,0.58972
1.4936,369.29,151.31,0.58662
1.5132,376.26,146.94,0.5823
1.5427,386.57,139.24,0.57061
1.5869,401.73,126.26,0.54449
1.6088,409.09,122.98,0.5444
1.6416,419.96,118.14,0.54497
1.6908,435.83,110.73,0.54607
1.7318,448.65,104.49,0.54724
1.7818,463.79,94.53,0.53124
1.8318,478.43,85.45,0.51321
1.8818,492.61,77.695,0.49888
# Event BURNOUT occurred at t=1.9097 seconds,,,
1.9097,500.33,73.794,0.49197
1.9517,511.66,68.618,0.48306
2.0017,524.79,63.294,0.47417
2.0517,537.53,58.692,0.46666
2.1017,549.91,54.659,0.46019
2.1517,561.96,51.089,0.45454
2.2017,573.69,47.903,0.44954
2.2517,585.12,45.038,0.44507
2.3017,596.27,42.449,0.44105
2.3517,607.16,40.097,0.43741
2.4017,617.79,37.95,0.4341
2.4517,628.18,35.985,0.43107
2.5017,638.34,34.174,0.42828
2.5517,648.28,32.502,0.4257
2.6017,658.02,30.957,0.42331
2.6517,667.55,29.523,0.4211
2.7017,676.89,28.189,0.41904
2.7517,686.04,26.944,0.41711
2.8017,695.02,25.782,0.41531
2.8517,703.82,24.693,0.41362
2.9017,712.46,23.673,0.41203
2.9517,720.94,22.714,0.41053
3.0017,729.26,21.811,0.40912
3.0517,737.44,20.959,0.40779
3.1017,745.48,20.155,0.40653
3.1517,753.37,19.395,0.40533
3.2017,761.13,18.676,0.4042
3.2517,768.76,17.995,0.40312
3.3017,776.26,17.347,0.4021
3.3517,783.63,16.731,0.40112
3.4017,790.89,16.147,0.40019
3.4517,798.03,15.589,0.3993
3.5017,805.06,15.059,0.39846
3.5517,811.98,14.554,0.39765
3.6017,818.79,14.072,0.39688
3.6517,825.5,13.61,0.39614
3.7017,832.1,13.169,0.39543
3.7517,838.6,12.747,0.39475
3.8017,845.01,12.343,0.3941
3.8517,851.32,11.956,0.39347
3.9017,857.54,11.585,0.39287
3.9517,863.67,11.228,0.39229
4.0017,869.71,10.885,0.39173
4.0517,875.67,10.556,0.39119
4.1017,881.54,10.24,0.39068
4.1517,887.32,9.9354,0.39018
4.2017,893.03,9.6431,0.3897
4.2517,898.66,9.3611,0.38924
4.3017,904.21,9.0887,0.38879
4.3517,909.68,8.8278,0.38836
4.4017,915.08,8.5752,0.38794
4.4517,920.4,8.3325,0.38754
4.5017,925.65,8.0966,0.38715
4.5517,930.83,7.8694,0.38678
4.6017,935.95,7.6494,0.38641
4.6517,940.99,7.4374,0.38606
4.7017,945.97,7.2314,0.38572
4.7517,950.88,7.0329,0.38539
4.8017,955.73,6.8402,0.38506
4.8517,960.51,6.6538,0.38475
4.9017,965.23,6.4738,0.38445
4.9517,969.89,6.2982,0.38416
5.0017,974.49,6.1295,0.38387
5.0517,979.03,5.9662,0.3836
5.1017,983.52,5.8068,0.38333
5.1517,987.94,5.6529,0.38307
5.2017,992.31,5.5032,0.38282
5.2517,996.62,5.3579,0.38257
5.3017,1000.9,5.217,0.38233
5.3517,1005.1,5.0797,0.3821
5.4017,1009.2,4.9466,0.38187
5.4517,1013.3,4.8173,0.38165
5.5017,1017.4,4.6924,0.38144
5.5517,1021.4,4.5694,0.38123
5.6017,1025.3,4.4503,0.38103
5.6517,1029.2,4.3346,0.38083
5.7017,1033,4.2225,0.38064
5.7517,1036.8,4.1131,0.38045
5.8017,1040.6,4.0065,0.38027
5.8517,1044.3,3.9035,0.38009
5.9017,1047.9,3.802,0.37992
5.9517,1051.6,3.7036,0.37975
6.0017,1055.1,3.608,0.37959
6.0517,1058.6,3.5146,0.37942
6.1017,1062.1,3.4237,0.37927
6.1517,1065.5,3.335,0.37911
6.2017,1068.9,3.2488,0.37897
6.2517,1072.3,3.1641,0.37882
6.3017,1075.6,3.0819,0.37868
6.3517,1078.8,3.0024,0.37854
6.4017,1082,2.924,0.3784
6.4517,1085.2,2.8481,0.37827
6.5017,1088.3,2.7739,0.37814
6.5517,1091.4,2.7011,0.37802
6.6017,1094.5,2.6302,0.37789
6.6517,1097.5,2.5608,0.37777
6.7017,1100.5,2.4936,0.37765
6.7517,1103.4,2.4281,0.37754
6.8017,1106.3,2.3633,0.37743
6.8517,1109.2,2.3013,0.37732
6.9017,1112,2.24,0.37721
6.9517,1114.8,2.1802,0.37711
7.0017,1117.5,2.1215,0.377
7.0517,1120.2,2.0647,0.3769
7.1017,1122.9,2.0089,0.37681
7.1517,1125.6,1.9544,0.37671
7.2017,1128.2,1.901,0.37662
7.2517,1130.7,1.8486,0.37652
7.3017,1133.3,1.7972,0.37643
7.3517,1135.8,1.7475,0.37635
7.4017,1138.2,1.6993,0.37626
7.4517,1140.7,1.6529,0.37618
7.5017,1143.1,1.6067,0.3761
7.5517,1145.4,1.5615,0.37602
7.6017,1147.8,1.5156,0.37594
7.6517,1150.1,1.472,0.37586
7.7017,1152.3,1.4298,0.37578
7.7517,1154.5,1.3884,0.37571
7.8017,1156.7,1.3479,0.37564
7.8517,1158.9,1.3081,0.37557
7.9017,1161,1.2693,0.3755
7.9517,1163.2,1.231,0.37543
8.0017,1165.2,1.194,0.37537
8.0517,1167.3,1.1583,0.3753
8.1017,1169.3,1.1232,0.37553
8.1517,1171.3,1.0906,0.37619
8.2017,1173.2,1.0583,0.37687
8.2517,1175.1,1.0272,0.37756
8.3017,1177,0.99658,0.37825
8.3517,1178.9,0.96658,0.37896
8.4017,1180.7,0.93715,0.37969
8.4517,1182.5,0.90848,0.38042
8.5017,1184.3,0.88062,0.38116
8.5517,1186,0.85356,0.38192
8.6017,1187.7,0.82637,0.38269
8.6517,1189.4,0.7999,0.38348
8.7017,1191,0.77372,0.3843
8.7517,1192.7,0.74822,0.38514
8.8017,1194.2,0.72343,0.38597
8.8517,1195.8,0.69913,0.38683
8.9017,1197.3,0.6753,0.3877
