# Simulation 11 (Up to date),,,
# 647 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Thick fins may not be modeled accurately.,,,
#   Recovery device deployment at high speed (21.5 m/s),,,
#,,,
# Time (s),Altitude (m),Drag force (N),Drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,0,0.78343
0.01,0.015239,0.020418,0.7179
# Event LIFTOFF occurred at t=0.02 seconds,,,
0.02,0.068317,0.10773,0.65343
0.03,0.162,0.20179,0.62765
0.038954,0.27524,0.29784,0.61338
0.046032,0.38354,0.38699,0.60456
0.052103,0.48966,0.47286,0.5982
0.057511,0.59453,0.55665,0.59326
0.06244,0.69858,0.63921,0.58922
0.066999,0.80204,0.72087,0.58584
0.071263,0.90508,0.80186,0.58292
# Event LAUNCHROD occurred at t=0.075283 seconds,,,
0.075283,1.0078,0.88231,0.58038
0.081312,1.172,1.01,0.57688
0.090356,1.4412,1.2182,0.57224
0.10392,1.8965,1.5691,0.56637
0.12427,2.696,2.2107,0.56635
0.15479,4.1587,3.3984,0.56815
0.19392,6.4988,5.3222,0.57104
0.23163,9.2521,7.6203,0.57449
0.28163,13.659,11.393,0.58006
0.33163,18.931,16.028,0.5868
0.35026,21.116,17.973,0.58962
0.36629,23.093,19.739,0.59218
0.38243,25.172,21.598,0.59487
0.40058,27.615,23.785,0.59803
0.42611,31.243,27.046,0.6027
0.46441,37.094,32.338,0.6102
0.48466,40.382,35.313,0.61439
0.50025,43.006,37.683,0.61773
0.51608,45.749,40.156,0.62121
0.53692,49.481,43.52,0.62593
0.56817,55.333,48.798,0.63329
0.59284,60.162,53.142,0.63933
0.60965,63.557,56.183,0.64356
0.6306,67.906,60.067,0.64896
0.66203,74.667,66.079,0.65732
0.68673,80.175,70.938,0.66409
0.71186,85.948,75.99,0.67115
0.74954,94.919,83.702,0.68201
0.78092,102.66,90.16,0.6912
0.828,114.7,99.857,0.70525
0.86138,123.53,106.66,0.71533
0.91138,137.18,116.82,0.73083
0.96138,151.29,126.99,0.74707
1.0114,165.82,137.1,0.76414
1.0614,180.73,147.09,0.7822
1.1114,195.98,155.44,0.7937
1.1614,211.53,160.66,0.795
1.2114,227.29,164.8,0.7961
1.2614,243.25,168.28,0.79707
1.3114,259.3,168.88,0.79731
1.3322,265.99,168.09,0.79714
1.3634,275.99,166.09,0.79668
1.4012,288,162.99,0.79594
1.4512,303.71,157.41,0.79464
1.5012,319.1,149.16,0.79068
1.5512,334.11,137.34,0.76936
1.5942,346.68,127.96,0.75355
1.6442,360.92,117.71,0.73714
1.6942,374.72,107.95,0.72213
1.7442,388.07,98.846,0.70855
1.7942,400.99,91.124,0.69728
1.8442,413.5,84.207,0.68732
# Event BURNOUT occurred at t=1.8942 seconds,,,
1.8942,425.62,77.752,0.67809
1.9442,437.35,71.92,0.6698
1.9942,448.72,66.785,0.66252
2.0442,459.75,62.229,0.65607
2.0942,470.46,58.158,0.6503
2.1442,480.86,54.5,0.6451
2.1942,490.99,51.197,0.6404
2.2442,500.85,48.198,0.63613
2.2942,510.45,45.469,0.63222
2.3442,519.82,42.972,0.62863
2.3942,528.95,40.681,0.62533
2.4442,537.87,38.573,0.62228
2.4942,546.59,36.624,0.61945
2.5442,555.1,34.82,0.61683
2.5942,563.43,33.148,0.61438
2.6442,571.57,31.59,0.6121
2.6942,579.54,30.139,0.60996
2.7442,587.35,28.784,0.60796
2.7942,594.99,27.514,0.60609
2.8442,602.48,26.324,0.60432
2.8942,609.82,25.208,0.60266
2.9442,617.01,24.159,0.60109
2.9942,624.07,23.17,0.59961
3.0442,630.99,22.236,0.5982
3.0942,637.78,21.355,0.59688
3.1442,644.45,20.522,0.59562
3.1942,651,19.734,0.59442
3.2442,657.42,18.986,0.59329
3.2942,663.74,18.275,0.59221
3.3442,669.94,17.601,0.59118
3.3942,676.03,16.962,0.5902
3.4442,682.02,16.352,0.58927
3.4942,687.91,15.772,0.58837
3.5442,693.7,15.217,0.58752
3.5942,699.39,14.686,0.5867
3.6442,704.99,14.182,0.58592
3.6942,710.49,13.698,0.58517
3.7442,715.91,13.235,0.58445
3.7942,721.24,12.793,0.58377
3.8442,726.48,12.371,0.58311
3.8942,731.65,11.966,0.58248
3.9442,736.73,11.577,0.58187
3.9942,741.73,11.203,0.58128
4.0442,746.65,10.844,0.58072
4.0942,751.5,10.499,0.58017
4.1442,756.27,10.166,0.57965
4.1942,760.97,9.8472,0.57915
4.2442,765.61,9.5397,0.57866
4.2942,770.17,9.2447,0.57819
4.3442,774.66,8.9591,0.57774
4.3942,779.08,8.6853,0.57731
4.4442,783.44,8.4208,0.57689
4.4942,787.74,8.1653,0.57648
4.5442,791.97,7.9191,0.57609
4.5942,796.14,7.6824,0.57571
4.6442,800.25,7.4538,0.57534
4.6942,804.3,7.2307,0.57499
4.7442,808.29,7.0159,0.57464
4.7942,812.23,6.808,0.57431
4.8442,816.1,6.6073,0.57399
4.8942,819.93,6.4122,0.57367
4.9442,823.69,6.2249,0.57337
4.9942,827.4,6.0429,0.57308
5.0442,831.06,5.8666,0.57279
5.0942,834.67,5.6953,0.57251
5.1442,838.23,5.5293,0.57225
5.1942,841.73,5.3685,0.57198
5.2442,845.19,5.2124,0.57173
5.2942,848.59,5.0614,0.57149
5.3442,851.95,4.9159,0.57125
5.3942,855.26,4.7753,0.57102
5.4442,858.52,4.6371,0.57079
5.4942,861.74,4.5033,0.57058
5.5442,864.91,4.3725,0.57036
5.5942,868.04,4.2467,0.57016
5.6442,871.12,4.1244,0.56996
5.6942,874.15,4.0044,0.56976
5.7442,877.15,3.8876,0.56957
5.7942,880.1,3.7738,0.56938
5.8442,883,3.6639,0.5692
5.8942,885.87,3.5568,0.56903
5.9442,888.7,3.4537,0.56886
5.9942,891.48,3.3531,0.56869
6.0442,894.22,3.2546,0.56853
6.0942,896.93,3.1588,0.56837
6.1442,899.59,3.065,0.56822
6.1942,902.22,2.9742,0.56807
6.2442,904.81,2.8862,0.56792
6.2942,907.36,2.8006,0.56778
6.3442,909.87,2.7169,0.56764
6.3942,912.34,2.6357,0.56751
6.4442,914.78,2.5558,0.56737
6.4942,917.18,2.4782,0.56725
6.5442,919.54,2.4026,0.56712
6.5942,921.87,2.3289,0.567
6.6442,924.16,2.2576,0.56688
6.6942,926.42,2.1888,0.56676
6.7442,928.64,2.1205,0.56665
6.7942,930.83,2.0537,0.56654
6.8442,932.99,1.9893,0.56643
6.8942,935.11,1.9274,0.56633
6.9442,937.19,1.8665,0.56623
6.9942,939.25,1.8055,0.56612
7.0442,941.27,1.7472,0.56603
7.0942,943.26,1.6909,0.56593
7.1442,945.21,1.6376,0.5666
7.1942,947.13,1.586,0.56729
7.2442,949.03,1.535,0.568
7.2942,950.88,1.4854,0.56872
7.3442,952.71,1.4369,0.56945
7.3942,954.51,1.3893,0.57019
7.4442,956.27,1.3429,0.57095
7.4942,958.01,1.2974,0.57173
7.5442,959.71,1.2538,0.57251
7.5942,961.39,1.2108,0.57332
7.6442,963.03,1.1684,0.57414
7.6942,964.64,1.1274,0.57498
7.7442,966.23,1.0882,0.57583
7.7942,967.78,1.0503,0.57669
7.8442,969.31,1.0133,0.57757
7.8942,970.8,0.97737,0.57847
7.9442,972.27,0.93954,0.57941
7.9942,973.7,0.90368,0.58036
8.0442,975.11,0.86953,0.58132
8.0942,976.49,0.83466,0.58233
8.1442,977.85,0.80197,0.58335
8.1942,979.17,0.77015,0.5844
8.2442,980.47,0.73929,0.58545
8.2942,981.73,0.70908,0.58655
8.3442,982.97,0.67963,0.58767
8.3942,984.18,0.65121,0.58879
8.4442,985.37,0.62306,0.58998
8.4942,986.53,0.59578,0.59119
8.5442,987.66,0.56908,0.59245
8.5942,988.76,0.54312,0.59374
8.6442,989.83,0.5178,0.59507
8.6942,990.88,0.4932,0.59647
8.7442,991.9,0.46978,0.59793
8.7942,992.9,0.4461,0.59939
8.8442,993.87,0.42293,0.60087
8.8942,994.81,0.40093,0.60238
8.9442,995.72,0.37946,0.60401
8.9942,996.61,0.35927,0.60563
9.0442,997.48,0.33915,0.60737
9.0942,998.31,0.32011,0.60915
9.1442,999.12,0.3012,0.61102
9.1942,999.91,0.28293,0.61297
9.2442,1000.7,0.26549,0.61499
9.2942,1001.4,0.24908,0.61706
9.3442,1002.1,0.23326,0.61923
9.3942,1002.8,0.21949,0.62143
9.4442,1003.4,0.20638,0.62372
9.4942,1004.1,0.19167,0.62624
9.5442,1004.7,0.17781,0.6289
9.5942,1005.3,0.16402,0.63172
9.6442,1005.8,0.14872,0.63486
9.6942,1006.4,0.13648,0.638
9.7442,1006.9,0.1263,0.6412
9.7942,1007.3,0.11544,0.64471
9.8442,1007.8,0.10502,0.64846
9.8942,1008.2,0.095544,0.65243
9.9442,1008.6,0.087629,0.65654
9.9942,1009,0.077916,0.66129
10.044,1009.4,0.070577,0.66615
10.094,1009.7,0.061656,0.67183
10.144,1010,0.05349,0.67807
10.194,1010.3,0.045616,0.6851
10.244,1010.6,0.041121,0.69197
10.294,1010.8,0.034897,0.70051
10.344,1011,0.031438,0.70871
10.394,1011.2,0.026411,0.71905
10.444,1011.3,0.021513,0.7306
10.494,1011.5,0.015615,0.74831
10.544,1011.6,0.011649,0.76194
10.594,1011.7,0.0074667,0.78163
10.644,1011.7,0.0040397,0.79591
10.694,1011.8,0.0014881,0.81434
10.744,1011.8,2.51E-04,0.81562
# Event APOGEE occurred at t=10.794 seconds,,,
10.794,1011.8,6.76E-08,0.81424
10.844,1011.7,-1.13E-04,0.7961
10.894,1011.7,-9.28E-04,0.78191
10.944,1011.6,-0.0028035,0.76696
10.994,1011.5,-0.0058547,0.75274
11.044,1011.4,-0.0093026,0.73758
11.094,1011.2,-0.013924,0.72551
11.144,1011,-0.020039,0.71552
11.194,1010.8,-0.025489,0.70534
11.244,1010.6,-0.029861,0.69566
11.294,1010.3,-0.036993,0.68838
11.344,1010,-0.044256,0.68166
11.394,1009.7,-0.050137,0.67518
11.444,1009.4,-0.057001,0.66956
11.494,1009.1,-0.063688,0.66441
11.544,1008.7,-0.070938,0.6598
11.594,1008.3,-0.078694,0.65562
11.644,1007.9,-0.086923,0.65182
11.694,1007.5,-0.096656,0.6484
11.744,1007,-0.10477,0.64511
11.794,1006.5,-0.11514,0.64217
11.844,1006,-0.12558,0.6394
11.894,1005.5,-0.13434,0.63677
11.944,1004.9,-0.14032,0.63427
11.994,1004.4,-0.14999,0.63202
12.044,1003.8,-0.15669,0.62989
12.094,1003.2,-0.16789,0.62794
12.144,1002.6,-0.17829,0.6261
12.194,1001.9,-0.18814,0.62438
12.244,1001.3,-0.19329,0.6228
12.294,1000.6,-0.20001,0.62134
12.344,999.92,-0.20557,0.62
12.394,999.22,-0.21659,0.61872
12.444,998.51,-0.2305,0.61749
12.494,997.78,-0.2398,0.61637
12.544,997.04,-0.2522,0.61529
12.594,996.29,-0.26658,0.61424
12.644,995.53,-0.28402,0.61319
12.694,994.76,-0.2974,0.61225
12.744,993.98,-0.31251,0.61133
12.794,993.18,-0.32723,0.61046
12.844,992.38,-0.34379,0.60959
12.894,991.57,-0.35713,0.60881
12.944,990.75,-0.37282,0.60802
12.994,989.93,-0.38886,0.60723
13.044,989.09,-0.40563,0.60643
13.094,988.24,-0.42252,0.60562
13.144,987.39,-0.43555,0.60491
13.194,986.53,-0.4522,0.60411
13.244,985.66,-0.46143,0.60349
13.294,984.79,-0.47038,0.60288
13.344,983.9,-0.48484,0.60213
13.394,983.02,-0.49439,0.60151
13.444,982.12,-0.49549,0.60109
13.494,981.22,-0.50438,0.60048
13.544,980.32,-0.50867,0.6
13.594,979.42,-0.51669,0.59943
13.644,978.51,-0.52512,0.59886
13.694,977.61,-0.52452,0.59851
13.744,976.7,-0.52017,0.59827
13.794,975.8,-0.51427,0.5981
13.844,974.9,-0.51692,0.59776
13.894,974,-0.50501,0.5978
13.944,973.11,-0.49916,0.59776
13.994,972.22,-0.50493,0.59749
14.044,971.35,-0.49974,0.59753
14.094,970.47,-0.49907,0.59751
14.144,969.61,-0.49519,0.59762
14.194,968.75,-0.4936,0.59772
14.244,967.91,-0.50251,0.59759
14.294,967.06,-0.50828,0.59756
14.344,966.23,-0.51548,0.5975
14.394,965.4,-0.52968,0.59724
14.444,964.58,-0.53998,0.59708
14.494,963.77,-0.54968,0.59692
14.544,962.96,-0.54845,0.59704
14.594,962.15,-0.5575,0.59684
14.644,961.35,-0.55299,0.59701
14.694,960.56,-0.5609,0.5968
14.744,959.77,-0.56153,0.59678
14.794,958.99,-0.55809,0.59685
14.844,958.21,-0.55867,0.59678
14.894,957.44,-0.56221,0.59661
14.944,956.67,-0.56296,0.59651
14.994,955.91,-0.56633,0.59632
15.044,955.15,-0.57296,0.59601
15.094,954.41,-0.56763,0.59606
15.144,953.67,-0.57032,0.59586
15.194,952.94,-0.57055,0.59573
15.244,952.21,-0.56627,0.59573
15.294,951.5,-0.56034,0.5958
15.344,950.79,-0.55176,0.59597
15.394,950.1,-0.52544,0.59673
15.444,949.41,-0.52121,0.59682
15.494,948.73,-0.51524,0.59702
15.544,948.07,-0.50382,0.59745
15.594,947.41,-0.49594,0.59781
15.644,946.76,-0.49689,0.59791
15.694,946.12,-0.49769,0.59804
15.744,945.49,-0.50245,0.59806
15.794,944.87,-0.50408,0.5982
15.844,944.25,-0.50574,0.59835
# Event EJECTION_CHARGE occurred at t=15.894 seconds,,,
15.894,943.65,-0.50451,0.59859
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=15.895 seconds,,,
15.904,943.53,40.825,NaN
15.911,943.45,38.799,NaN
15.919,943.36,36.832,NaN
15.927,943.26,34.918,NaN
15.936,943.17,33.055,NaN
15.945,943.07,31.245,NaN
15.955,942.97,29.487,NaN
15.966,942.86,27.78,NaN
15.977,942.74,26.124,NaN
15.989,942.63,24.521,NaN
16.002,942.5,22.971,NaN
16.017,942.37,21.477,NaN
16.032,942.23,20.045,NaN
16.049,942.08,18.668,NaN
16.067,941.93,17.345,NaN
16.087,941.76,16.067,NaN
16.109,941.58,14.844,NaN
16.134,941.39,13.697,NaN
16.161,941.18,12.636,NaN
16.191,940.95,11.609,NaN
16.226,940.7,10.603,NaN
16.264,940.42,9.8211,NaN
16.307,940.12,9.0719,NaN
16.356,939.78,8.2405,NaN
16.413,939.39,7.5611,NaN
16.478,938.96,7.0066,NaN
16.551,938.47,6.5821,NaN
16.633,937.93,6.2062,NaN
16.734,937.26,5.7095,NaN
16.854,936.46,5.4073,NaN
17.008,935.42,5.1557,NaN
17.204,934.08,5.0614,NaN
17.458,932.32,5.0725,NaN
17.819,929.79,5.1065,NaN
18.319,926.26,5.1245,NaN
18.819,922.71,5.1835,NaN
19.319,919.17,5.1642,NaN
19.819,915.63,5.1713,NaN
20.319,912.09,5.1856,NaN
20.819,908.56,5.1594,NaN
21.319,905.02,5.1722,NaN
21.819,901.48,5.1777,NaN
22.319,897.94,5.1677,NaN
22.819,894.41,5.1678,NaN
23.319,890.87,5.1712,NaN
23.819,887.34,5.173,NaN
24.319,883.8,5.1789,NaN
24.819,880.27,5.1629,NaN
25.319,876.74,5.1712,NaN
25.819,873.2,5.168,NaN
26.319,869.67,5.1744,NaN
26.819,866.14,5.1654,NaN
27.319,862.61,5.1705,NaN
27.819,859.08,5.1704,NaN
28.319,855.55,5.1683,NaN
28.819,852.02,5.1816,NaN
29.319,848.49,5.1619,NaN
29.819,844.97,5.1717,NaN
30.319,841.44,5.1683,NaN
30.819,837.91,5.1736,NaN
31.319,834.39,5.1679,NaN
31.819,830.86,5.1799,NaN
32.319,827.34,5.1751,NaN
