# Simulation 2 (Up to date)
# 515 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,11.48,0,11.48,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,455.55,59.961,0.062462,0.0015335,NaN,663.78,NaN,0.0060252,130300,9.6908,0,0.58647,0,0.46547,9.9146e-4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0022328
0.01,0.0018833,0.1148,97.441,0.1148,97.441,0,0,0,0,0,0,28.61,-80.6,9.7922,86.808,0,0,0,455.55,59.961,0.062462,0.0015335,NaN,663.78,NaN,0.0060573,130996,48.85,2.1969e-6,0.58585,2.4632e-4,0.46485,9.9147e-4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4699e-5,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0026135
0.02,0.021639,1.0895,171.45,1.0895,171.45,0,0,0,0,0,0,28.61,-80.6,9.7922,62.199,0,0,0,455.38,59.791,0.062454,0.0015335,NaN,663.7,NaN,0.0068629,148417,82.537,0.0013431,0.57176,0.11731,0.45076,9.9186e-4,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.395e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0030745
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.085523,2.8051,232.43,2.8051,232.43,0,0,0,0,0,0,28.61,-80.6,9.7922,36.481,0,0,0,455.05,59.461,0.062439,0.0015335,NaN,663.54,NaN,0.010249,221644,110.24,0.012497,0.53059,0.48942,0.40958,9.9403e-4,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5915e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.003423
0.04,0.21571,5.1313,272.76,5.1313,272.76,0,0,0,0,0,0,28.61,-80.6,9.7922,22.084,0,0,0,454.56,58.972,0.062416,0.0015334,NaN,663.31,NaN,0.016268,351816,128.48,0.03988,0.4898,0.61989,0.36877,10e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5698e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0035692
0.05,0.42884,7.8617,297.27,7.8617,297.27,0,0,0,0,0,0,28.61,-80.6,9.7922,14.885,0,0,0,453.93,58.345,0.062386,0.0015334,NaN,663.02,NaN,0.023898,516818,139.47,0.082268,0.46035,0.59258,0.33927,0.0010115,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010066,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.01,0.0037099
0.06,0.73558,10.838,311.34,10.838,311.34,0,0,0,0,0,0,28.61,-80.6,9.7922,10.934,0,0,0,453.23,57.642,0.062352,0.0015333,NaN,662.68,NaN,0.032428,701281,145.54,0.13623,0.43946,0.53292,0.3183,0.0010294,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013876,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.009227,0.0038767
0.069227,1.1072,13.711,317.1,13.711,317.1,0,0,0,0,0,0,28.61,-80.6,9.7922,8.6972,0,0,0,452.51,56.926,0.062318,0.0015332,NaN,662.34,NaN,0.04075,881237,147.97,0.19823,0.42511,0.49109,0.30384,0.0010523,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017555,66.04,34.253,90,0,NaN,14.998,1013.2,340.39,0.0072932,0.0040299
0.07652,1.4629,16.024,319.49,16.024,319.49,0,0,0,0,0,0,28.61,-80.6,9.7922,7.4675,0,0,0,451.88,56.291,0.062288,0.0015332,NaN,662.04,NaN,0.047479,1026751,149.01,0.25599,0.41607,0.46717,0.2947,0.0010745,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020517,66.04,34.253,90,0,NaN,14.997,1013.2,340.39,0.0062405,0.0041606
