# Simulation 3 (Up to date)
# 650 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.9 m/s)
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,51.938,0,51.938,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,516.45,112.86,0.062583,0.0015399,NaN,673.35,NaN,0.0059437,128539,31.88,0,0.58804,0,0.46705,9.9142e-4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0011035
0.01,0.00852,0.51938,167.63,0.51938,167.63,0,0,0,0,0,0,28.61,-80.6,9.7922,75.38,0,0,0,516.45,112.86,0.062583,0.0015399,NaN,673.35,NaN,0.0060451,130732,91.63,1.8481e-4,0.58608,0.020805,0.46509,9.9147e-4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6499e-5,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.00152
0.02,0.053073,2.1968,230.57,2.1968,230.57,0,0,0,0,0,0,28.61,-80.6,9.7922,41.724,0,0,0,516.04,112.45,0.06257,0.0015399,NaN,673.22,NaN,0.0086471,187003,124.04,0.0075406,0.54732,0.41486,0.42631,9.9289e-4,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8127e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0017574
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.163,4.5047,205.78,4.5047,205.78,0,0,0,0,0,0,28.61,-80.6,9.7922,23.158,0,0,0,515.4,111.82,0.06255,0.0015398,NaN,673.01,NaN,0.014394,311283,111.14,0.03149,0.49999,0.62526,0.37897,9.9785e-4,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7676e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0020549
0.04,0.34458,6.5649,191.01,6.5649,191.01,0,0,0,0,0,0,28.61,-80.6,9.7922,16.099,0,0,0,514.68,111.09,0.062528,0.0015398,NaN,672.78,NaN,0.020074,434109,103.41,0.060148,0.47325,0.61407,0.35219,0.0010052,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4053e-4,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.01,0.00226
0.05,0.59132,8.477,191.65,8.477,191.65,0,0,0,0,0,0,28.61,-80.6,9.7922,12.393,0,0,0,513.98,110.39,0.062506,0.0015397,NaN,672.55,NaN,0.025498,551411,103.63,0.089732,0.45575,0.56779,0.33465,0.0010144,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010853,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.01,0.0024988
0.06,0.9009,10.395,197.53,10.395,197.53,0,0,0,0,0,0,28.61,-80.6,9.7922,10.125,0,0,0,513.31,109.72,0.062486,0.0015396,NaN,672.34,NaN,0.031023,670888,106.49,0.12341,0.44237,0.52752,0.32122,0.0010261,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001331,66.04,34.253,90,0,NaN,14.998,1013.2,340.39,0.0096197,0.0028053
0.06962,1.259,12.296,203.08,12.296,203.08,0,0,0,0,0,0,28.61,-80.6,9.7922,8.5579,0,0,0,512.64,109.05,0.062465,0.0015395,NaN,672.12,NaN,0.036532,790010,109.07,0.16132,0.43185,0.49728,0.31063,0.00104,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015744,66.04,34.253,90,0,NaN,14.998,1013.2,340.39,0.0081324,0.0034649
0.077752,1.6091,13.947,206.87,13.947,206.87,0,0,0,0,0,0,28.61,-80.6,9.7922,7.5374,0,0,0,512.04,108.45,0.062446,0.0015395,NaN,671.93,NaN,0.04133,893763,111.08,0.19811,0.42426,0.47713,0.30298,0.001054,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017856,66.04,34.253,90,0,NaN,14.997,1013.2,340.39,0.0071702,0.0043099
