# Simulation 1 (Up to date)
# 783 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,349.67,0,349.67,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,626.01,187.42,0.062828,0.0015515,NaN,676.65,NaN,0.0047738,103237,225.03,0,0.61462,0,0.49363,9.9095e-4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.0063621
0.01,0.057359,3.4966,517.2,3.4966,517.2,0,0,0,0,0,0,28.61,-80.6,9.7922,25.015,0,0,0,626.01,187.42,0.062828,0.0015515,NaN,676.65,NaN,0.011336,245144,329.92,0.019846,0.52113,0.63535,0.40012,9.949e-4,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4768e-4,66.04,34.253,90,0,NaN,15,1013.2,340.39,0.01,0.006755
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.25704,8.678,412.1,8.678,412.1,0,0,0,0,0,0,28.61,-80.6,9.7922,10.691,0,0,0,624.59,186,0.0628,0.0015513,NaN,676.4,NaN,0.025945,561076,263.6,0.089745,0.45453,0.54848,0.33342,0.0010153,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011111,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.01,0.0073087
0.03,0.60947,12.808,378.79,12.808,378.79,0,0,0,0,0,0,28.61,-80.6,9.7922,7.3185,0,0,0,622.95,184.36,0.062766,0.0015511,NaN,676.11,NaN,0.037936,820385,242.19,0.16811,0.42949,0.48057,0.30826,0.001044,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016398,66.04,34.253,90,0,NaN,14.999,1013.2,340.39,0.0078078,0.007603
0.037808,0.97548,15.77,379.98,15.77,379.98,0,0,0,0,0,0,28.61,-80.6,9.7922,5.9735,0,0,0,621.61,183.02,0.062739,0.001551,NaN,675.87,NaN,0.046582,1007350,242.49,0.23876,0.41718,0.45267,0.29582,0.0010713,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020191,66.04,34.253,90,0,NaN,14.998,1013.2,340.39,0.0063413,0.007929
0.044149,1.3287,18.182,380.87,18.182,380.87,0,0,0,0,0,0,28.61,-80.6,9.7922,5.1988,0,0,0,620.65,182.07,0.06272,0.0015509,NaN,675.7,NaN,0.053636,1159890,242.75,0.3053,0.40918,0.43659,0.2877,0.0010979,0.12037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023279,66.04,34.253,90,0,NaN,14.997,1013.2,340.39,0.0055,0.0082112
0.049649,1.6757,20.279,381.62,20.279,381.62,0,0,0,0,0,0,28.61,-80.6,9.7922,4.6741,0,0,0,619.85,181.27,0.062704,0.0015508,NaN,675.55,NaN,0.059774,1292612,242.98,0.36969,0.40328,0.42568,0.28169,0.001124,0.12046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025964,66.04,34.253,90,0,NaN,14.997,1013.2,340.39,0.0049313,0.0085509
0.05458,2.019,22.162,382.29,22.162,382.29,0,0,0,0,0,0,28.61,-80.6,9.7922,4.268,0,0,0,619.15,180.56,0.06269,0.0015507,NaN,675.42,NaN,0.065289,1411872,243.18,0.43253,0.39862,0.41745,0.27692,0.0011499,0.12055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028375,66.04,34.253,90,0,NaN,14.996,1013.2,340.39,0.0045122,0.0089616
0.059093,2.3598,23.888,382.9,23.888,382.9,0,0,0,0,0,0,28.61,-80.6,9.7922,3.9506,0,0,0,618.51,179.92,0.062677,0.0015507,NaN,675.31,NaN,0.070347,1521229,243.37,0.49439,0.3948,0.41102,0.27298,0.0011758,0.12064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030585,66.04,34.253,90,0,NaN,14.995,1013.2,340.39,0.0041862,0.0093211
