Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-6.84758E-07,995.20,0,35, -,9.295994
0.05,-6.84758E-07,995.20,0,35, -,9.295994
0.10,1.688796,995.00,1.611086,35, -,9.295994
0.15,2.53304,994.90,2.409371,35, -,9.295994
0.20,3.377868,994.80,3.207657,35, -,9.295994
0.25,5.911734,994.50,5.617028,35, -,9.295994
0.30,8.446219,994.20,8.0264,35, -,9.295994
0.35,10.13639,994.00,9.637486,35, -,9.295994
0.40,9.291529,994.10,8.8392,35, -,9.295994
0.45,9.291529,994.10,8.8392,35, -,9.295994
0.50,10.13639,994.00,9.637486,35, -,9.295994
0.55,10.98132,993.90,10.43577,35, -,9.295994
0.60,12.67191,993.70,12.04686,35, -,9.295994
0.65,13.51756,993.60,12.84514,35, -,9.295994
0.70,15.20805,993.40,14.45623,35, -,9.295994
0.75,18.59087,993.00,17.6784,35, -,9.295994
0.80,21.12846,992.70,20.10228,35, -,9.295994
0.85,23.66666,992.40,22.52617,35, -,9.295994
0.90,26.20601,992.10,24.95006,35, -,9.295994
0.95,30.43894,991.60,28.98503,35, -,9.295994
1.00,32.97943,991.30,31.40891,35, -,9.295994
1.05,36.36753,990.90,34.63108,35, -,9.295994
1.10,38.90999,990.60,37.05497,35, -,9.295994
1.15,41.45255,990.30,37.86777,35, -,9.295994
1.20,43.99574,990.00,39.49337,35, -,9.295994
1.25,46.53955,989.70,41.11897,35, -,9.295994
1.30,49.93262,989.30,41.94629,35, -,9.295994
1.35,54.17525,988.80,43.57188,35, -,9.295994
1.40,57.57029,988.40,45.19749,35, -,9.295994
1.45,60.96698,988.00,49.23245,35, -,9.295994
1.50,65.21413,987.50,53.28194,35, -,9.295994
1.55,69.46302,987.00,56.53314,35, -,9.295994
1.60,73.71366,986.50,59.78434,35, -,9.295994
1.65,77.96604,986.00,62.22274,35, -,9.295994
1.70,83.071,985.40,66.28674,35, -,9.295994
1.75,87.32723,984.90,68.72514,35, -,9.295994
1.80,92.43732,984.30,70.36526,35, -,9.295994
1.85,98.40204,983.60,73.61646,35, -,9.295994
1.90,103.5171,983.00,76.06937,35, -,9.295994
1.95,108.6347,982.40,78.52229,35, -,9.295994
2.00,112.9014,981.90,78.55132,35, -,9.295994
2.05,118.0241,981.30,81.00423,35, -,9.295994
2.10,124.0036,980.60,83.47166,35, -,9.295994
2.15,129.986,979.90,86.75188,35, -,9.295994
2.20,135.1172,979.30,89.21931,35, -,9.295994
2.25,141.1066,978.60,92.49954,35, -,9.295994
2.30,147.0989,977.90,95.77977,35, -,9.295994
2.35,153.0952,977.20,98.2472,35, -,9.295994
2.40,158.2379,976.60,99.10354,35, -,9.295994
2.45,165.0983,975.80,102.3983,35, -,9.295994
2.50,170.2464,975.20,104.0674,35, -,9.295994
2.55,176.2561,974.50,105.7366,35, -,9.295994
2.60,182.2694,973.80,107.4202,35, -,9.295994
2.65,189.1458,973.00,109.9167,35, -,9.295994
